class,check,variable
67,"[""size_t"", ""size_t"", ""size_t""]","[""fprintf_arg_ret""]"
58,"[""curl_easy_init_ret""]",[]
0,"[null, null, null, null, null, null, null, null]",[null]
1,"[""int""]",[]
2,"[null, ""(_ret"", null]",[]
3,"[null, ""(_ret"", null]","[""ssl_version_ret""]"
4,"[""strcmp_ret""]","[null, null]"
68,"[""strcmp_ret""]",[]
5,"[""gethostbyname_arg""]",[null]
6,[null],[]
7,"["" struct OperationConfig"", null, null]","[null, "" struct OperationConfig"", null, null]"
8,"[""vsnprintf_ret"", null, null]","["" struct OperationConfig"", null, null]"
9,"[""vsnprintf_ret"", null, null]","[""fwrite_arg_ret"", "" struct OperationConfig"", null, null]"
10,"[""va_start_arg""]","[""vfprintf_arg""]"
11,"[""fwrite_arg"", ""fwrite_arg"", null, null]","["" struct OutStruct"", null]"
12,"["" struct sprotos"", ""char""]","["" struct OperationConfig"", ""curlx_raw_equal_arg_ret""]"
59,"[""parseconfig_arg"", null, ""parseconfig_arg"", null, null]","[""new_getout_arg""]"
13,"[""strlen_arg_ret""]","[""new_getout_arg""]"
14,"[""fopen_ret""]","[""new_getout_arg"", ""fopen_arg_ret""]"
15,"[""ftpfilemethod_arg_ret"", null]","[""ftpfilemethod_arg_ret""]"
16,"[""char""]","[""ftpcccmethod_arg_ret""]"
17,"[""metalink_get_version_arg_ret"", ""metalink_get_version_arg_ret"", ""metalink_get_version_arg_ret"", null]","[""delegation_arg_ret"", null, null, null, ""metalink_get_version_arg_ret"", ""metalink_get_version_arg_ret"", ""metalink_get_version_arg_ret""]"
60,"[""char""]","[""delegation_arg_ret""]"
18,"[""fopen_ret""]","[""delegation_arg_ret"", ""strchr_arg_ret""]"
19,"[""fopen_ret""]","[""delegation_arg_ret"", ""fopen_arg_ret""]"
20,"[""SetHTTPrequest_arg_ret"", null]","[""SetHTTPrequest_arg_ret""]"
21,"[""parseconfig_ret""]","[""SetHTTPrequest_arg_ret"", ""parseconfig_arg_ret""]"
22,"[""bool""]","[""SetHTTPrequest_arg_ret""]"
23,"[""ISDIGIT_ret"", ""strchr_ret""]","[""new_getout_arg_ret""]"
24,"[""ISDIGIT_ret"", ""ISDIGIT_arg_ret"", ""ISDIGIT_arg_ret""]","[""new_getout_arg_ret""]"
25,"[""parseconfig_arg_ret"", null, ""parseconfig_arg_ret"", null, null]","[""new_getout_arg_ret""]"
26,"[""new_getout_arg_ret"", null]","[""new_getout_arg_ret"", ""char""]"
27,"[""stat_ret""]","[""new_getout_arg_ret""]"
28,"[""fopen_ret""]","[""SetHTTPrequest_arg_ret"", ""SetHTTPrequest_arg_ret"", null]"
29,"[""glob_match_url_ret""]","[""SetHTTPrequest_arg_ret""]"
30,"[""SetHTTPrequest_arg_ret"", null, ""int""]","[""SetHTTPrequest_arg_ret""]"
31,"[""curlx_nonblock_ret""]","[""strerror_ret"", ""SetHTTPrequest_arg_ret"", ""open_ret""]"
32,"[""SetHTTPrequest_arg_ret"", null, ""SetHTTPrequest_arg_ret"", null, ""SetHTTPrequest_arg_ret"", null]","[""SetHTTPrequest_arg_ret""]"
33,"[""my_setopt_arg_ret"", null]","[""my_setopt_arg_ret""]"
34,"[""retry""]","[""my_setopt_arg_ret"", null, ""retry"", ""tool_go_sleep_arg"", ""long""]"
35,"[""metalink_check_hash_arg"", null, null, ""my_setopt_arg_ret"", null]","[""my_setopt_arg_ret"", null]"
36,"[""fwrite_xattr_ret""]","[""strerror_ret"", ""my_setopt_arg_ret""]"
61,"[""fwrite_arg"", ""fwrite_arg"", null, null]","["" struct OperationConfig""]"
37,"[""bool""]","["" struct OperationConfig""]"
38,"["" struct OutStruct"", null, "" struct OutStruct"", null]","["" struct OperationConfig""]"
62,"[""fopen_ret""]","[""strerror_ret"", "" struct OperationConfig"", "" struct OutStruct"", null]"
63,"[null, null]",[]
