patch_file,old_file,new_file,old_hunk_file,new_hunk_file,old_loc,new_loc,old_log,new_log,action_type
httpd-2.0.40_diff_httpd-2.0.42,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.40/modules/experimental/cache_pqueue.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.42/modules/experimental/cache_pqueue.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_2.cpp,302,270,"fprintf(stdout,""posn\tleft\tright\tparent\tminchild\t...\n"");","fprintf(stdout,""posn\tleft\tright\tparent\tmaxchild\t...\n"");",3
httpd-2.0.40_diff_httpd-2.0.42,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.40/modules/experimental/cache_pqueue.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.42/modules/experimental/cache_pqueue.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_2.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_2.cpp,304,272,"fprintf(stdout,
                ""%d\t%d\t%d\t%d\t%"" APR_SSIZE_T_FMT ""\t"",
                i,
                left(i), right(i), parent(i),
                minchild(q, i));","fprintf(stdout,
                ""%d\t%d\t%d\t%d\t%"" APR_SSIZE_T_FMT ""\t"",
                i,
                left(i), right(i), parent(i),
                maxchild(q, i));",3
httpd-2.0.40_diff_httpd-2.0.42,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.40/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.42/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_3.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_3.cpp,116,122,"ap_log_error(APLOG_MARK, APLOG_DEBUG, 0, r->server,
                     ""cache: URL exceeds length threshold: %s"", url);","ap_log_error(APLOG_MARK, APLOG_DEBUG, 0, r->server,
                     ""cache: URL exceeds length threshold: %s"", url);",0
httpd-2.0.40_diff_httpd-2.0.42,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.40/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.42/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_4.cpp,195,201,"ap_log_error(APLOG_MARK, APLOG_DEBUG, 0, r->server,
                         ""cache: no cache - add cache_in filter and DECLINE"");","ap_log_error(APLOG_MARK, APLOG_DEBUG, 0, r->server,
                         ""cache: no cache - add cache_in filter and DECLINE"");",2
httpd-2.0.40_diff_httpd-2.0.42,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.40/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.42/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_4.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_4.cpp,198,204,"ap_add_output_filter(""CACHE_IN"", NULL, r, r->connection);","ap_add_output_filter_handle(cache_in_filter_handle, NULL, r,
                                        r->connection);",3
httpd-2.0.40_diff_httpd-2.0.42,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.40/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.42/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_5.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_5.cpp,231,238,"ap_add_output_filter(""CACHE_OUT"", NULL, r, r->connection);","ap_add_output_filter_handle(cache_out_filter_handle, NULL,
                                        r, r->connection);",3
httpd-2.0.40_diff_httpd-2.0.42,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.40/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.42/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_7.cpp,255,264,"ap_log_error(APLOG_MARK, APLOG_DEBUG, 0, 
                             r->server,
                             ""cache: conditional - add cache_in filter and ""
                             ""DECLINE"");","ap_log_error(APLOG_MARK, APLOG_DEBUG, 0, 
                             r->server,
                             ""cache: conditional - add cache_in filter and ""
                             ""DECLINE"");",2
httpd-2.0.40_diff_httpd-2.0.42,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.40/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.42/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_7.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_7.cpp,260,269,"ap_add_output_filter(""CACHE_IN"", NULL, r, r->connection);","ap_add_output_filter_handle(cache_in_filter_handle, NULL,
                                            r, r->connection);",3
httpd-2.0.40_diff_httpd-2.0.42,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.40/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.42/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_8.cpp,287,297,"ap_log_error(APLOG_MARK, APLOG_DEBUG, 0, 
                                 r->server,
                                 ""cache: nonconditional - no cached ""
                                 ""etag/lastmods - add cache_in and DECLINE"");","ap_log_error(APLOG_MARK, APLOG_DEBUG, 0, 
                                 r->server,
                                 ""cache: nonconditional - no cached ""
                                 ""etag/lastmods - add cache_in and DECLINE"");",2
httpd-2.0.40_diff_httpd-2.0.42,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.40/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/repos/httpd-2.0.42/modules/experimental/mod_cache.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_old_hunk_8.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_new_hunk_8.cpp,292,302,"ap_add_output_filter(""CACHE_IN"", NULL, r, r->connection);","ap_add_output_filter_handle(cache_in_filter_handle, NULL,
                                                r, r->connection);",3
