class,old_loc,old_log,new_log,function,function_loc,check,variable,edit
119,919,"(mutt_yesorno (_(""Can't match nametemplate, continue?""), 1);","(mutt_yesorno (_(""Can't match nametemplate, continue?""), M_YES);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_6.cpp,27,[null],[],"[[u'1'], [u'M_YES']]"
118,-1,,"fprintf (stderr, ""%s\n"", err.data);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_32.cpp,22,"[""mutt_parse_rc_line_ret""]","[null, ""mutt_parse_rc_line_arg_ret"", null]","[[], [u'fprintf', u'stderr', u'%s\\n', u'err', u'data']]"
130,244,"(mutt_yesorno (_(""Can't match nametemplate, continue?""), M_YES);","(mutt_yesorno (_(""Can't match nametemplate, continue?""), MUTT_YES);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_118.cpp,23,[null],[null],"[[u'M_YES'], [u'MUTT_YES']]"
120,156,"printw (""%s%s"", _("" sign as: ""), SmimeDefaultKey ? SmimeDefaultKey : _(""<default>""));","printw (TITLE_FMT ""%s"", _(""sign as: ""), SmimeDefaultKey ? SmimeDefaultKey : _(""<default>""));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_124.cpp,46,"[null, null, ""HEADER"", null, null, ""HEADER"", null, null]","[null, null]","[[u'%s%s'], [u'TITLE_FMT', u'%s']]"
121,117,"mutt_yesorno(msg, M_YES);","mutt_yesorno(msg, MUTT_YES);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_146.cpp,16,"[""int"", null]","[null, null]","[[u'M_YES'], [u'MUTT_YES']]"
129,629,"(mutt_yesorno (buff, M_NO);","(mutt_yesorno (buff, MUTT_NO);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_148.cpp,187,[null],"[null, null]","[[u'M_NO'], [u'MUTT_NO']]"
122,1156,"state_attach_puts (_(""Warning: At least one certification key ""
                             ""has expired\n""), s);","state_puts (_(""Warning: At least one certification key ""
                             ""has expired\n""), s);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_157.cpp,23,"[""print_time_arg""]","[""print_time_arg_ret""]","[[u'state_attach_puts'], [u'state_puts']]"
131,1174,"state_attach_puts (""\n"", s);","state_puts (""\n"", s);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_159.cpp,41,"[""unsigned"", null]","[""print_time_arg_ret""]","[[u'state_attach_puts'], [u'state_puts']]"
132,1240,"state_attach_puts (""\n"", s);","state_puts (""\n"", s);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_171.cpp,107,"[""gpgme_signature_t"", null, ""gpgme_signature_t"", null]","[""print_time_arg_ret""]","[[u'state_attach_puts'], [u'state_puts']]"
123,1245,"state_attach_puts (sig->pka_address, s);","state_puts (sig->pka_address, s);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_173.cpp,112,"[""gpgme_signature_t"", null, ""gpgme_signature_t"", null]","[""gpgme_signature_t"", null, ""print_time_arg_ret""]","[[u'state_attach_puts'], [u'state_puts']]"
124,1367,"state_attach_puts(_(""aka: ""), s);","state_puts(_(""aka: ""), s);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_180.cpp,23,"[""""]","[""print_time_arg""]","[[u'state_attach_puts'], [u'state_puts']]"
125,1377,"state_attach_puts (_(""KeyID ""), s);","state_puts (_(""KeyID ""), s);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_183.cpp,33,"[""gpgme_key_t""]","[""print_time_arg""]","[[u'state_attach_puts'], [u'state_puts']]"
126,1620,"state_attach_puts (notation->value, s);","state_puts (notation->value, s);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_196.cpp,107,"[""gpgme_sig_notation_t"", null]","[""gpgme_sig_notation_t"", null, ""show_one_sig_status_arg_ret""]","[[u'state_attach_puts'], [u'state_puts']]"
127,156,"printw (TITLE_FMT ""%s"", _(""sign as: ""), SmimeDefaultKey ? SmimeDefaultKey : _(""<default>""));","printw (""%s"", SmimeDefaultKey ? SmimeDefaultKey : _(""<default>""));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_204.cpp,46,"[null, null, ""HEADER"", null, null, ""HEADER"", null, null]","[null, null, null]","[[u'TITLE_FMT', u'sign', u'as', u'_'], []]"
128,-1,,"printw (""%*s"", HeaderPadding[HDR_CRYPTINFO], _(Prompts[HDR_CRYPTINFO]));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/mutt/gumtree/mutt_function_208.cpp,69,"[null, null, ""HEADER"", null, null, ""HEADER"", null, null]","[null, null]","[[], [u'printw', u'%*s', u'HeaderPadding[HDR_CRYPTINFO]', u'_', u'Prompts[HDR_CRYPTINFO]']]"
