file,function,loc,log,check,variable
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/match.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_1.cpp,10,"out_of_memory(""build_hash_table"")","[""malloc_ret"", ""malloc_ret""]",[]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/match.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_2.cpp,8,"fprintf(stderr,""match at %d last_match=%d j=%d len=%d n=%d\n"",
	      (int)offset,(int)last_match,i,(int)s->sums[i].len,n)","[""write_int_arg""]","[null, null, ""int"", null, ""map_ptr_arg"", ""write_int_arg"", null, "" struct sum_struct"", null, ""write_int_arg"", ""off_t"", ""write_int_arg""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/match.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_3.cpp,10,"fprintf(stderr,""hash search b=%d len=%d\n"",s->n,(int)len)",[null],"[null, ""matched_arg"", null, null, ""MIN_arg""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/match.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_3.cpp,20,"fprintf(stderr, ""sum=%.8x k=%d\n"", sum, k)",[null],"[null, ""get_checksum1_ret"", ""MIN_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/match.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_3.cpp,27,"fprintf(stderr,""hash search s->n=%d len=%d count=%d\n"",
	    s->n,(int)len,s->count)",[null],"[null, ""matched_arg"", null, null, ""MIN_arg"", ""matched_arg"", null]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/match.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_3.cpp,34,"fprintf(stderr,""offset=%d sum=%08x\n"",
	      offset,sum)",[null],"[null, ""MIN_arg"", ""get_checksum1_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/match.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_3.cpp,47,"fprintf(stderr,""potential match at %d target=%d %d sum=%08x\n"",
		    offset,j,i,sum)",[null],"[null, ""MIN_arg"", """", ""matched_arg"", ""get_checksum1_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/match.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_4.cpp,13,"fprintf(stderr,""built hash table\n"")",[null],[null]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/match.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_4.cpp,18,"fprintf(stderr,""done hash search\n"")",[null],[null]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/match.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_4.cpp,29,"fprintf(stderr, ""false_alarms=%d tag_hits=%d matches=%d\n"",
	    false_alarms, tag_hits, matches)",[null],"[null, null, null, null]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/exclude.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_9.cpp,9,"fprintf(stderr,""clearing exclude list\n"")",[null],[null]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/exclude.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_9.cpp,24,"out_of_memory(""add_exclude"")","[""strdup_ret"", ""realloc_ret"", ""realloc_ret"", ""int""]",[]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/exclude.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_9.cpp,27,"fprintf(stderr,""add_exclude(%s)\n"",pattern)",[null],"[null, ""strdup_arg_ret""]"
/usr/info/code/cpp/LogMonitor/LogMonito
