sha,message,issue,file_name,old_file,new_file,patch_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_loc,new_loc,old_log,new_log,action_type,old_log_file,new_log_file,old_function_file,old_fucntion_loc,new_function_file,new_function_loc
6df1bda1c57193b289866389a994ea79a2f5e1d8,"Merge branch 'upstream-LibArchive' into update-libarchive

* upstream-LibArchive:
  LibArchive 2017-07-09 (98a69539)",[],Utilities/cmlibarchive/libarchive/archive_read_disk_entry_from_file.c,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_old_file_0.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_new_file_0.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_patch_0.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_old_hunk_1.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_new_hunk_1.cpp,145,112,146,143,,"archive_set_error(&a->archive, ARCHIVE_ERRNO_MISC,
		   ""Couldn't determine path"");",7,second/download/CMake/CMake-gumtree/Kitware_CMake_old_new_old_log_0.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_old_new_new_log_0.cpp,second/download/CMake/CMake-old-new/CMake-old-new-joern/Kitware_CMake_old_new_old_function_0.cpp,-1,second/download/CMake/CMake-old-new/CMake-old-new-joern/Kitware_CMake_old_new_new_function_0.cpp,12
6df1bda1c57193b289866389a994ea79a2f5e1d8,"Merge branch 'upstream-LibArchive' into update-libarchive

* upstream-LibArchive:
  LibArchive 2017-07-09 (98a69539)",[],Utilities/cmlibarchive/libarchive/archive_read_disk_entry_from_file.c,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_old_file_0.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_new_file_0.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_patch_0.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_old_hunk_2.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_new_hunk_2.cpp,328,334,334,-1,"archive_set_error(&a->archive, errno,
			    ""Can't change dir to read extended attributes"");",,7,second/download/CMake/CMake-gumtree/Kitware_CMake_old_new_old_log_1.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_old_new_new_log_1.cpp,second/download/CMake/CMake-old-new/CMake-old-new-joern/Kitware_CMake_old_new_old_function_1.cpp,18,second/download/CMake/CMake-old-new/CMake-old-new-joern/Kitware_CMake_old_new_new_function_1.cpp,-1
6df1bda1c57193b289866389a994ea79a2f5e1d8,"Merge branch 'upstream-LibArchive' into update-libarchive

* upstream-LibArchive:
  LibArchive 2017-07-09 (98a69539)",[],Utilities/cmlibarchive/libarchive/archive_read_disk_entry_from_file.c,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_old_file_0.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_new_file_0.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_patch_0.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_old_hunk_2.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_new_hunk_2.cpp,328,334,339,-1,"archive_set_error(&a->archive, ARCHIVE_ERRNO_MISC,
		    ""Can't open file to read extended attributes: No name"");",,7,second/download/CMake/CMake-gumtree/Kitware_CMake_old_new_old_log_2.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_old_new_new_log_2.cpp,second/download/CMake/CMake-old-new/CMake-old-new-joern/Kitware_CMake_old_new_old_function_2.cpp,23,second/download/CMake/CMake-old-new/CMake-old-new-joern/Kitware_CMake_old_new_new_function_2.cpp,-1
6df1bda1c57193b289866389a994ea79a2f5e1d8,"Merge branch 'upstream-LibArchive' into update-libarchive

* upstream-LibArchive:
  LibArchive 2017-07-09 (98a69539)",[],Utilities/cmlibarchive/libarchive/archive_read_disk_entry_from_file.c,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_old_file_0.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_new_file_0.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_patch_0.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_old_hunk_3.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_new_hunk_3.cpp,426,423,476,-1,"archive_set_error(&a->archive, ARCHIVE_ERRNO_MISC,
			    ""Couldn't determine file path to read ACLs"");",,7,second/download/CMake/CMake-gumtree/Kitware_CMake_old_new_old_log_3.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_old_new_new_log_3.cpp,second/download/CMake/CMake-old-new/CMake-old-new-joern/Kitware_CMake_old_new_old_function_3.cpp,26,second/download/CMake/CMake-old-new/CMake-old-new-joern/Kitware_CMake_old_new_new_function_3.cpp,-1
6df1bda1c57193b289866389a994ea79a2f5e1d8,"Merge branch 'upstream-LibArchive' into update-libarchive

* upstream-LibArchive:
  LibArchive 2017-07-09 (98a69539)",[],Utilities/cmlibarchive/libarchive/archive_read_disk_entry_from_file.c,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_old_file_0.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_new_file_0.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_patch_0.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_old_hunk_3.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_new_hunk_3.cpp,426,423,549,-1,"archive_set_error(&a->archive, errno,
			    ""Couldn't translate ""
#if !HAVE_SUN_ACL
			    ""NFSv4 ""
#endif
			    ""ACLs"");",,7,second/download/CMake/CMake-gumtree/Kitware_CMake_old_new_old_log_4.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_old_new_new_log_4.cpp,second/download/CMake/CMake-old-new/CMake-old-new-joern/Kitware_CMake_old_new_old_function_4.cpp,99,second/download/CMake/CMake-old-new/CMake-old-new-joern/Kitware_CMake_old_new_new_function_4.cpp,-1
6df1bda1c57193b289866389a994ea79a2f5e1d8,"Merge branch 'upstream-LibArchive' into update-libarchive

* upstream-LibArchive:
  LibArchive 2017-07-09 (98a69539)",[],Utilities/cmlibarchive/libarchive/archive_read_disk_entry_from_file.c,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_old_file_0.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_new_file_0.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_patch_0.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_old_hunk_3.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_new_hunk_3.cpp,426,423,605,-1,"archive_set_error(&a->archive, errno,
			    ""Couldn't translate access ACLs"");",,7,second/download/CMake/CMake-gumtree/Kitware_CMake_old_new_old_log_5.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_old_new_new_log_5.cpp,second/download/CMake/CMake-old-new/CMake-old-new-joern/Kitware_CMake_old_new_old_function_5.cpp,155,second/download/CMake/CMake-old-new/CMake-old-new-joern/Kitware_CMake_old_new_new_function_5.cpp,-1
6df1bda1c57193b289866389a994ea79a2f5e1d8,"Merge branch 'upstream-LibArchive' into update-libarchive

* upstream-LibArchive:
  LibArchive 2017-07-09 (98a69539)",[],Utilities/cmlibarchive/libarchive/archive_read_disk_entry_from_file.c,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_old_file_0.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_new_file_0.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_patch_0.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_old_hunk_3.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_new_hunk_3.cpp,426,423,624,-1,"archive_set_error(&a->archive, errno,
				    ""Couldn't translate default ACLs"");",,7,second/download/CMake/CMake-gumtree/Kitware_CMake_old_new_old_log_6.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_old_new_new_log_6.cpp,second/download/CMake/CMake-old-new/CMake-old-new-joern/Kitware_CMake_old_new_old_function_6.cpp,174,second/download/CMake/CMake-old-new/CMake-old-new-joern/Kitware_CMake_old_new_new_function_6.cpp,-1
6df1bda1c57193b289866389a994ea79a2f5e1d8,"Merge branch 'upstream-LibArchive' into update-libarchive

* upstream-LibArchive:
  LibArchive 2017-07-09 (98a69539)",[],Utilities/cmlibarchive/libarchive/archive_read_disk_entry_from_file.c,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_old_file_0.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_new_file_0.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_patch_0.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_old_hunk_3.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_new_hunk_3.cpp,426,423,1188,-1,"archive_set_error(&a->archive, errno,
		    ""Failed to read ACL brand"");",,7,second/download/CMake/CMake-gumtree/Kitware_CMake_old_new_old_log_7.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_old_new_new_log_7.cpp,second/download/CMake/CMake-old-new/CMake-old-new-joern/Kitware_CMake_old_new_old_function_7.cpp,26,second/download/CMake/CMake-old-new/CMake-old-new-joern/Kitware_CMake_old_new_new_function_7.cpp,-1
6df1bda1c57193b289866389a994ea79a2f5e1d8,"Merge branch 'upstream-LibArchive' into update-libarchive

* upstream-LibArchive:
  LibArchive 2017-07-09 (98a69539)",[],Utilities/cmlibarchive/libarchive/archive_read_disk_entry_from_file.c,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_old_file_0.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_new_file_0.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_patch_0.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_old_hunk_3.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_new_hunk_3.cpp,426,423,1199,-1,"archive_set_error(&a->archive, ARCHIVE_ERRNO_MISC,
			    ""Invalid ACL entry type for POSIX.1e ACL"");",,7,second/download/CMake/CMake-gumtree/Kitware_CMake_old_new_old_log_8.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_old_new_new_log_8.cpp,second/download/CMake/CMake-old-new/CMake-old-new-joern/Kitware_CMake_old_new_old_function_8.cpp,37,second/download/CMake/CMake-old-new/CMake-old-new-joern/Kitware_CMake_old_new_new_function_8.cpp,-1
6df1bda1c57193b289866389a994ea79a2f5e1d8,"Merge branch 'upstream-LibArchive' into update-libarchive

* upstream-LibArchive:
  LibArchive 2017-07-09 (98a69539)",[],Utilities/cmlibarchive/libarchive/archive_read_disk_entry_from_file.c,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_old_file_0.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_new_file_0.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_patch_0.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_old_hunk_3.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_new_hunk_3.cpp,426,423,1206,-1,"archive_set_error(&a->archive, ARCHIVE_ERRNO_MISC,
			    ""Invalid ACL entry type for NFSv4 ACL"");",,7,second/download/CMake/CMake-gumtree/Kitware_CMake_old_new_old_log_9.cpp,second/download/CMake/CMake-gumtree/Kitware_CMake_old_new_new_log_9.cpp,second/download/CMake/CMake-old-new/CMake-old-new-joern/Kitware_CMake_old_new_old_function_9.cpp,44,second/download/CMake/CMake-old-new/CMake-old-new-joern/Kitware_CMake_old_new_new_function_9.cpp,-1
